,pred
0,8.589981447124304
1,23.0
2,21.923076923076923
3,8.59552757273122
4,33.0
5,23.0
6,8.7
7,8.569753810082064
8,30.25
9,8.6
10,11.0
11,27.0
12,8.57308584686775
13,8.590909090909092
14,8.752
15,8.632192846034215
16,6.0
17,18.428571428571427
18,8.49655172413793
19,8.647435897435898
20,8.455445544554456
21,21.5
22,8.70617696160267
23,5.720779220779221
24,31.96551724137931
25,20.0
26,8.628571428571428
27,8.597579425113464
28,8.569007263922519
29,8.632192846034215
30,8.61590909090909
31,8.820512820512821
32,8.684960422163588
33,27.866666666666667
34,8.553191489361701
35,8.684960422163588
36,8.649938800489597
37,31.75
38,8.813775510204081
39,22.333333333333332
40,8.493653032440056
41,21.90909090909091
42,8.5
43,8.6375
44,22.46511627906977
45,8.59552757273122
46,8.548571428571428
47,25.25
48,8.619047619047619
49,8.661290322580646
50,22.6
51,8.435294117647059
52,8.592034445640474
53,31.40909090909091
54,8.669724770642201
55,8.752
56,8.826771653543307
57,8.575221238938052
58,8.757352941176471
59,8.548571428571428
60,8.387096774193548
61,8.5
62,8.771929824561404
63,8.85430463576159
64,8.695885509838998
65,22.636363636363637
66,5.653543307086614
67,27.0
68,8.752
69,8.682481751824817
70,8.705128205128204
71,8.60344827586207
72,8.663101604278076
73,8.820512820512821
74,8.590909090909092
75,19.0
76,18.0
77,8.448275862068966
78,22.02857142857143
79,9.0
80,8.671794871794871
81,8.673366834170855
82,8.85430463576159
83,6.0
84,8.704880817253121
85,8.744560075685904
86,26.0
87,8.575221238938052
88,8.588709677419354
89,8.709883953581432
90,8.474418604651163
91,9.0
92,19.0
93,8.682492581602373
94,8.6375
95,8.415816326530612
96,8.793398533007334
97,8.588709677419354
98,8.655913978494624
99,33.0
100,8.727272727272727
101,16.0
102,8.645677694770544
103,8.579505300353357
104,8.475750577367206
105,8.793398533007334
106,23.318840579710145
107,28.333333333333332
108,8.721649484536082
109,24.166666666666668
110,8.715477996965099
111,8.575221238938052
112,8.5
113,8.626198083067093
114,38.02439024390244
115,8.507731958762887
116,8.715447154471544
117,8.614406779661017
118,8.64935064935065
119,8.8125
120,19.2
121,8.63855421686747
122,8.832876712328767
123,8.645677694770544
124,33.5
125,8.638853230637569
126,8.4609375
127,26.333333333333332
128,8.794871794871796
129,8.651055408970976
130,23.147058823529413
131,32.0
132,8.61111111111111
133,6.0
134,8.645677694770544
135,34.0
136,22.413793103448278
137,8.387096774193548
138,24.0
139,8.569753810082064
140,21.428571428571427
141,8.482758620689655
142,8.709883953581432
143,17.545454545454547
144,8.709883953581432
145,10.142857142857142
146,31.914772727272727
147,8.575757575757576
148,8.65874423554452
149,30.571428571428573
150,8.6875
151,13.0
152,5.428571428571429
153,8.825
154,45.0
155,8.40677966101695
156,8.5
157,8.589981447124304
158,8.707762557077626
159,8.741228070175438
160,8.466666666666667
161,8.905405405405405
162,8.78048780487805
163,8.62962962962963
164,6.333333333333333
165,8.634285714285713
166,8.626198083067093
167,8.0
168,22.875
169,8.526315789473685
170,8.684960422163588
171,23.0
172,8.682492581602373
173,8.636435958631663
174,8.655913978494624
175,8.875
176,8.608951707891638
177,8.475750577367206
178,34.0
179,8.70617696160267
180,8.76923076923077
181,8.899782135076252
182,27.0
183,8.85430463576159
184,8.5920245398773
185,8.587473002159827
186,8.617647058823529
187,22.576923076923077
188,8.589981447124304
189,30.5
190,8.673366834170855
191,8.628571428571428
192,32.166666666666664
193,8.428571428571429
194,6.066666666666666
195,8.715447154471544
196,32.425
197,8.610169491525424
198,8.696356275303645
199,24.5
200,8.592034445640474
201,8.455445544554456
202,8.46
203,21.0
204,8.624434389140271
205,8.652173913043478
206,24.166666666666668
207,8.676470588235293
208,8.513468013468014
209,24.666666666666668
210,22.88888888888889
211,8.628260869565217
212,8.504950495049505
213,8.786363636363637
214,8.780219780219781
215,8.715447154471544
216,8.535211267605634
217,16.0
218,8.584328358208955
219,22.833333333333332
220,8.647435897435898
221,8.69741985926505
222,5.75
223,8.592034445640474
224,8.551319648093841
225,8.764705882352942
226,8.767567567567568
227,24.0
228,8.70617696160267
229,8.680851063829786
230,27.033333333333335
231,8.714285714285714
232,30.0
233,8.652173913043478
234,8.364864864864865
235,8.767567567567568
236,8.589981447124304
237,8.56982456140351
238,8.5956678700361
239,22.40909090909091
240,8.599611273080662
241,9.5
242,8.800970873786408
243,8.571428571428571
244,22.2
245,8.575757575757576
246,8.49655172413793
247,11.125
248,8.540704738760631
249,5.85
250,32.0
251,21.444444444444443
252,8.64808362369338
253,8.65874423554452
254,8.816461684011353
255,8.682481751824817
256,8.431818181818182
257,8.705882352941176
258,8.621913580246913
259,8.569753810082064
260,5.5
261,8.56982456140351
262,26.875
263,8.871794871794872
264,8.548571428571428
265,24.0
266,8.25
267,8.514563106796116
268,8.727272727272727
269,8.625225225225226
270,6.0
271,9.0
272,31.72222222222222
273,18.818181818181817
274,8.47632311977716
275,8.638853230637569
276,8.684960422163588
277,22.8
278,9.2
279,8.659498207885305
280,8.77593123209169
281,8.733333333333333
282,8.741797432239657
283,32.285714285714285
284,8.621659634317862
285,35.5
286,23.5
287,7.5
288,8.850993377483444
289,8.911764705882353
290,8.77593123209169
291,8.589981447124304
292,8.78048780487805
293,8.567142857142857
294,8.676470588235293
295,8.5
296,8.662337662337663
297,8.783333333333333
298,8.602866389274157
299,38.0
300,8.632192846034215
301,8.680851063829786
302,8.695885509838998
303,8.447368421052632
304,8.5875
